action_id,event_id,action_type,execution_slot,enforcement_latency_us,success_flag,affected_flows
107,107,Isolation,47,31.75979455111567,1,49
108,108,Access Control,82,26.9511943589111,1,11
109,109,Traffic Redirection,38,30.01140731851358,1,9
110,110,Access Control,46,28.427379578473396,1,6
111,111,Traffic Redirection,127,29.355451792305598,1,22
112,112,Access Control,69,21.919515915478147,0,2
113,113,Traffic Redirection,40,20.281762432695217,1,48
114,114,Access Control,82,26.01872569428924,1,10
115,115,Traffic Redirection,56,29.289127348243063,1,19
116,116,Traffic Redirection,83,33.767305133228106,1,22
117,117,Isolation,86,37.91510408299336,1,30
118,118,Traffic Redirection,101,36.14718684956645,1,19
119,119,Isolation,76,28.14784917446329,1,17
120,120,Isolation,40,23.15186289445318,1,35
121,121,Access Control,10,35.80430514467789,1,47
122,122,Traffic Redirection,61,33.16719902658681,1,6
123,123,Isolation,106,27.966021219758556,1,18
124,124,Access Control,71,24.118738743405324,1,3
125,125,Traffic Redirection,101,33.12638944570736,1,24
126,126,Traffic Redirection,33,25.180161113368044,1,3
127,127,Traffic Redirection,54,22.91153126498516,0,36
128,128,Traffic Redirection,13,26.429571382589778,0,4
129,129,Isolation,87,35.85894929994096,0,20
130,130,Traffic Redirection,3,25.397335604274403,1,1
131,131,Isolation,116,23.211235658145384,1,10
132,132,Traffic Redirection,100,31.811963725947944,1,13
133,133,Access Control,9,24.360671140404676,1,28
134,134,Access Control,122,34.525180325889224,1,9
135,135,Isolation,50,24.07918803247798,1,34
136,136,Isolation,3,26.781240274075394,1,17
137,137,Isolation,43,29.29159343495064,0,13
138,138,Traffic Redirection,117,17.756418769020343,1,18
139,139,Isolation,5,25.154475450224165,1,19
140,140,Access Control,81,39.39413175756235,1,40
141,141,Isolation,112,31.006365426768816,1,47
142,142,Isolation,39,34.09496601517951,1,30
143,143,Access Control,47,30.78675457555531,1,31
144,144,Access Control,96,29.054826334898777,1,18
145,145,Isolation,75,35.911181209114496,1,35
146,146,Isolation,95,22.961083431644187,1,26
147,147,Isolation,52,35.37364782733027,1,10
148,148,Access Control,10,37.31283001014674,1,2
149,149,Isolation,58,35.80669421190632,1,42
150,150,Access Control,71,25.666497422039114,0,43
151,151,Traffic Redirection,113,31.97236302426741,1,40
152,152,Isolation,49,35.998172935730054,1,39
153,153,Traffic Redirection,3,25.641976785034416,1,6
154,154,Isolation,107,31.83508908162819,1,10
155,155,Traffic Redirection,113,28.40753274054571,0,24
156,156,Traffic Redirection,111,36.02858078836566,1,3
157,157,Access Control,96,25.90637914757055,1,7
158,158,Traffic Redirection,36,31.45080310288175,1,5
159,159,Isolation,87,38.99296327948687,1,16
160,160,Isolation,43,25.394220047797525,1,15
161,161,Access Control,102,34.18816755357441,1,15
162,162,Isolation,94,29.424164515994118,1,33
163,163,Traffic Redirection,101,37.89509335219125,1,11
164,164,Access Control,89,35.2533059029508,1,15
165,165,Traffic Redirection,29,28.292934978038566,1,18
166,166,Traffic Redirection,87,28.33402936666036,1,33
167,167,Isolation,112,30.035906342361038,1,21
168,168,Traffic Redirection,75,31.457114381580194,1,32
169,169,Isolation,114,26.10414823024592,1,16
170,170,Access Control,90,36.230118511022745,1,6
171,171,Traffic Redirection,72,29.80674813099346,1,20
172,172,Access Control,47,27.317195976404786,1,9
173,173,Traffic Redirection,54,28.253935206148732,1,27
174,174,Access Control,124,24.491954808521726,0,5
175,175,Access Control,126,24.381307650160323,1,27
176,176,Access Control,38,28.174295213927717,1,11
177,177,Isolation,12,25.780453664546236,1,14
178,178,Isolation,82,25.055521853423134,1,45
179,179,Isolation,47,24.510277298969434,1,33
180,180,Access Control,88,29.77954103365252,1,8
181,181,Isolation,66,30.050444234997812,1,5
182,182,Access Control,114,22.084280976396645,1,11
183,183,Access Control,111,32.237609792669886,1,41
184,184,Traffic Redirection,25,25.473376685510893,1,24
185,185,Access Control,7,26.72145668163843,1,35
186,186,Access Control,116,25.32320886683035,1,31
187,187,Traffic Redirection,80,31.899883463687683,1,40
188,188,Traffic Redirection,48,37.252442700992724,1,18
189,189,Traffic Redirection,22,28.729995540131288,1,11
190,190,Access Control,6,26.444447134822592,1,45
191,191,Traffic Redirection,7,28.018247290018245,1,11
192,192,Isolation,72,33.047601789751,1,41
193,193,Access Control,11,38.49000055896426,1,44
194,194,Isolation,75,31.828428246761177,1,17
195,195,Isolation,78,35.81324336651551,1,31
196,196,Access Control,65,32.19472702965475,1,28
197,197,Isolation,48,29.5991718783494,1,3
198,198,Isolation,36,33.81763120102266,1,9
199,199,Access Control,22,32.504148906064344,1,48
200,200,Traffic Redirection,76,30.546051018610843,1,38
201,201,Access Control,76,22.616713244765723,1,43
202,202,Traffic Redirection,91,34.88319998430231,1,23
203,203,Isolation,6,31.308962646710103,1,49
204,204,Access Control,127,29.964653787784414,0,37
205,205,Isolation,106,28.730338467985753,1,24
206,206,Access Control,38,27.448574129010645,1,19
207,207,Isolation,51,26.372216389391063,1,29
208,208,Access Control,4,29.27302296881035,1,25
209,209,Traffic Redirection,118,33.80772115204297,1,6
210,210,Isolation,19,26.590605928459958,1,18
211,211,Access Control,104,23.795597162258446,1,28
212,212,Access Control,18,31.78530169831738,1,13
213,213,Access Control,53,29.361306754775462,1,49
214,214,Traffic Redirection,97,31.895993700627805,1,29
215,215,Access Control,80,25.27473151225729,1,30
216,216,Isolation,62,34.865287728881974,1,3
217,217,Isolation,48,22.60349381685117,1,16
218,218,Access Control,75,31.475809182734796,1,40
219,219,Isolation,4,25.698435641760067,1,34
220,220,Access Control,94,19.59817300454658,1,22
221,221,Access Control,13,31.516407888587743,1,33
222,222,Access Control,110,22.897175718395786,1,5
223,223,Access Control,29,28.041080613881324,1,4
224,224,Isolation,123,21.03575531056039,1,17
225,225,Traffic Redirection,122,33.490384257653574,1,36
226,226,Access Control,16,28.3419395807832,0,9
227,227,Access Control,125,42.01305037520158,1,45
228,228,Access Control,106,28.924215438140557,0,6
229,229,Access Control,40,40.77695072625101,1,22
230,230,Access Control,89,26.739642749374276,1,5
231,231,Isolation,63,24.93936375147122,1,10
232,232,Traffic Redirection,116,35.68125726758619,1,37
233,233,Isolation,95,22.4596481751204,0,44
234,234,Traffic Redirection,31,20.57834782011969,1,21
235,235,Isolation,53,33.82401517497441,1,49
236,236,Access Control,109,18.270391204278333,1,43
237,237,Isolation,37,20.79387135821961,1,38
238,238,Traffic Redirection,49,24.37239646546729,1,23
239,239,Traffic Redirection,72,33.82506173359599,1,35
240,240,Traffic Redirection,86,27.526666437854942,1,6
241,241,Access Control,20,34.80298758733016,1,12
242,242,Access Control,33,29.264181825880303,1,29
243,243,Isolation,121,31.740371894481303,1,20
244,244,Traffic Redirection,116,21.2335596016324,1,32
245,245,Access Control,26,34.984342043929345,1,42
246,246,Isolation,35,32.12212477031185,1,31
247,247,Traffic Redirection,98,20.74455322223945,1,45
248,248,Access Control,62,23.31869256330321,1,19
249,249,Access Control,85,38.28360859766168,1,6
250,250,Isolation,23,38.02936524684925,1,15
251,251,Access Control,52,32.0100015613087,1,14
252,252,Access Control,90,24.030693144558903,1,22
253,253,Access Control,21,28.715708143946706,1,5
254,254,Access Control,36,34.91850359369039,1,32
255,255,Traffic Redirection,59,33.20270385535839,1,4
256,256,Access Control,11,29.556005629931313,1,32
257,257,Isolation,92,36.45913794059316,1,1
258,258,Access Control,57,20.656633065463662,1,34
259,259,Traffic Redirection,28,24.40573787530775,1,13
260,260,Access Control,23,32.27046225943653,1,10
261,261,Traffic Redirection,3,32.84310258367443,1,25
262,262,Access Control,41,37.373755552187916,1,4
263,263,Access Control,20,34.048604085465165,0,44
264,264,Access Control,114,36.54581290664663,1,34
265,265,Access Control,126,28.478716419428732,1,46
266,266,Access Control,78,27.90525418590454,1,35
267,267,Traffic Redirection,127,32.72451614665986,1,17
268,268,Isolation,25,29.266576740058177,1,8
269,269,Isolation,48,28.209437626760455,1,27
270,270,Isolation,30,30.99443522184567,1,3
271,271,Access Control,127,37.635204331609124,1,37
272,272,Traffic Redirection,40,31.351416646698848,1,10
273,273,Isolation,111,33.68010294246109,1,32
274,274,Access Control,105,30.548314482023216,1,1
275,275,Isolation,6,26.981335295208833,1,49
276,276,Traffic Redirection,48,29.72754301643903,1,33
277,277,Isolation,106,33.02276805765485,1,19
278,278,Access Control,82,29.74144536220965,1,43
279,279,Isolation,17,25.54540580264282,1,7
280,280,Access Control,39,31.370886444306272,1,27
281,281,Isolation,15,23.407324124859837,1,3
282,282,Traffic Redirection,119,37.40186001160848,1,22
283,283,Traffic Redirection,42,29.709114517110645,0,32
284,284,Traffic Redirection,64,27.61632359524027,1,36
285,285,Isolation,120,28.68232620506765,1,34
286,286,Access Control,44,28.739119639614415,1,16
287,287,Isolation,99,25.531156946577326,1,4
288,288,Access Control,17,21.74009992093606,1,6
289,289,Isolation,62,27.142998230766313,0,24
290,290,Isolation,68,32.355954648131274,1,9
291,291,Isolation,90,32.091895712076905,1,10
292,292,Access Control,66,22.054807194518276,0,3
293,293,Access Control,99,30.529086814397992,1,46
294,294,Access Control,127,32.76492665148326,1,10
295,295,Traffic Redirection,35,35.03738666524454,1,47
296,296,Traffic Redirection,56,34.70222330233729,1,33
297,297,Traffic Redirection,86,26.096407855048067,1,44
298,298,Traffic Redirection,20,23.616539351131607,1,26
299,299,Traffic Redirection,92,33.33174082190213,1,2
300,300,Isolation,9,22.82973902807583,1,2
301,301,Access Control,116,29.061851789804265,1,11
302,302,Isolation,2,28.695538398336883,1,18
303,303,Isolation,16,28.968900717958952,1,19
304,304,Traffic Redirection,121,29.113961216171216,1,4
305,305,Isolation,124,25.058213323847813,1,17
306,306,Access Control,52,25.95614186275641,1,40
307,307,Isolation,63,29.269136468929336,1,28
308,308,Access Control,79,25.014637026150467,1,5
309,309,Isolation,95,22.715950622821325,1,22
310,310,Access Control,25,38.45754378708792,1,9
311,311,Isolation,37,29.62418479669862,1,35
312,312,Traffic Redirection,110,36.26458911620005,1,21
313,313,Access Control,53,34.38917198270462,1,30
314,314,Isolation,49,15.11962886459244,1,22
315,315,Isolation,59,36.28189723654162,1,31
316,316,Traffic Redirection,30,22.52913210163958,1,19
317,317,Traffic Redirection,25,25.587384341134516,1,40
318,318,Access Control,50,32.47447675873633,1,27
319,319,Access Control,72,25.3877773425149,1,47
320,320,Traffic Redirection,53,33.71129808993681,1,48
321,321,Traffic Redirection,50,27.641438769518274,1,28
322,322,Traffic Redirection,28,36.912730128528054,1,36
323,323,Access Control,68,38.539416473134054,1,27
324,324,Access Control,81,18.557716194628988,1,24
325,325,Access Control,97,33.516236966171476,1,23
326,326,Traffic Redirection,47,29.739595687071237,1,9
327,327,Isolation,33,22.720679492995703,1,9
328,328,Isolation,42,19.703869493850355,1,29
329,329,Access Control,100,27.90992689954176,0,8
330,330,Traffic Redirection,71,24.1985264313009,1,45
331,331,Traffic Redirection,104,25.51944800547683,1,21
332,332,Isolation,66,27.08073506738017,1,3
333,333,Isolation,40,26.826361715408485,1,27
334,334,Traffic Redirection,18,20.74491816071048,1,42
335,335,Isolation,32,26.79386616085163,1,48
336,336,Traffic Redirection,100,30.443209266239663,1,9
337,337,Traffic Redirection,77,25.62145435114135,1,17
338,338,Access Control,14,34.449804507658165,1,35
339,339,Isolation,53,31.287628394740253,1,47
340,340,Access Control,68,20.91495576876641,1,17
341,341,Isolation,29,23.482888676759366,1,5
342,342,Traffic Redirection,72,32.57784406951535,1,44
343,343,Isolation,42,37.83128644369733,1,21
344,344,Access Control,68,30.26110637552102,1,14
345,345,Access Control,47,36.7496115087878,1,35
346,346,Access Control,83,28.51559666376454,1,44
347,347,Isolation,66,26.707609291626067,1,3
348,348,Isolation,103,32.46965005801895,1,28
349,349,Access Control,114,19.660576155932965,1,37
350,350,Isolation,47,34.372346917872385,1,42
351,351,Isolation,58,23.332229179859965,1,19
352,352,Traffic Redirection,108,33.089015279366926,1,48
353,353,Access Control,79,21.6932368060521,1,25
354,354,Isolation,99,38.51110955625849,1,40
355,355,Access Control,110,27.296479512434498,1,44
356,356,Access Control,48,39.72587723634601,1,15
357,357,Traffic Redirection,44,31.02785919172711,1,43
358,358,Traffic Redirection,108,36.537588155211566,1,8
359,359,Access Control,63,24.131218550152717,1,23
360,360,Isolation,47,31.332484910403664,1,5
361,361,Access Control,83,41.76495189159167,1,37
362,362,Traffic Redirection,29,23.470697529407765,1,27
363,363,Isolation,83,28.420908655184252,1,3
364,364,Access Control,119,27.372578943779285,1,31
365,365,Access Control,28,26.90130591715949,1,11
366,366,Traffic Redirection,23,27.68227791053789,1,14
367,367,Access Control,77,29.640852956380456,1,49
368,368,Access Control,39,25.114376790853534,1,36
369,369,Access Control,37,34.32068265937475,1,5
370,370,Access Control,51,27.11425116830415,1,22
371,371,Isolation,7,33.72448905403136,1,20
372,372,Traffic Redirection,30,34.560473527391935,1,5
373,373,Access Control,6,27.46335071589348,1,49
374,374,Access Control,4,42.72316815129802,1,23
375,375,Access Control,50,27.32791737815382,1,23
376,376,Access Control,9,26.57133620159632,1,25
377,377,Access Control,57,28.432800119512038,1,36
378,378,Traffic Redirection,112,28.45612985897223,1,26
379,379,Access Control,65,33.54177390898759,1,39
380,380,Isolation,35,34.966143838134606,1,2
381,381,Traffic Redirection,122,32.552915190818965,1,23
382,382,Isolation,97,21.136608653491116,1,46
383,383,Traffic Redirection,76,23.66814064024002,1,25
384,384,Isolation,21,34.921250201886444,0,38
385,385,Isolation,60,35.471825584329835,1,5
386,386,Access Control,49,28.472942320179424,1,15
387,387,Traffic Redirection,50,23.987297989860277,1,32
388,388,Traffic Redirection,13,32.02464530283179,1,20
389,389,Access Control,72,23.89383955675634,1,34
390,390,Traffic Redirection,111,34.18398570113389,1,7
391,391,Access Control,11,29.92332991433083,1,38
392,392,Traffic Redirection,118,27.225492594566663,1,33
393,393,Isolation,12,36.02601747119317,0,46
394,394,Traffic Redirection,81,34.35357839282321,1,36
395,395,Traffic Redirection,33,22.5211400455771,1,37
396,396,Traffic Redirection,20,32.019156704700094,0,35
397,397,Traffic Redirection,127,33.80345391663221,1,44
398,398,Isolation,69,26.92896579266925,1,41
399,399,Access Control,102,31.346013934473238,1,32
400,400,Traffic Redirection,97,40.71621400527364,1,14
401,401,Access Control,79,37.855241089811386,1,26
402,402,Isolation,11,34.1528553745116,1,22
403,403,Traffic Redirection,124,30.53667429324824,1,34
404,404,Traffic Redirection,8,27.75634214552558,1,42
405,405,Traffic Redirection,61,31.033310401099023,1,16
406,406,Traffic Redirection,35,33.08806069461123,1,34
407,407,Traffic Redirection,21,29.478538209614598,1,21
408,408,Isolation,123,29.905268216383835,1,9
409,409,Access Control,108,27.76069785945167,1,13
410,410,Access Control,49,36.378709203728114,1,10
411,411,Isolation,96,29.337455782315132,1,28
412,412,Isolation,127,29.830064705852898,1,21
413,413,Traffic Redirection,84,29.923820140569685,1,11
414,414,Isolation,20,30.521491137080734,1,36
415,415,Isolation,11,27.346135229905197,1,21
416,416,Access Control,123,32.34284869360364,1,14
417,417,Access Control,101,32.077555890484106,1,30
418,418,Isolation,113,37.87469794706783,1,15
419,419,Isolation,62,36.06428454914263,1,30
420,420,Isolation,44,35.16614096478035,1,21
421,421,Traffic Redirection,28,25.28148969179436,1,22
422,422,Access Control,26,34.2508798923983,1,48
423,423,Isolation,81,28.258612210296622,1,40
424,424,Traffic Redirection,73,28.857721005889704,1,1
425,425,Traffic Redirection,70,35.28096836259899,1,8
426,426,Traffic Redirection,43,25.788404249406714,1,28
427,427,Isolation,53,28.228687128808026,1,4
428,428,Access Control,108,31.164936909988032,1,26
429,429,Traffic Redirection,44,30.08879527956782,1,43
430,430,Traffic Redirection,104,35.481021476240514,1,43
431,431,Traffic Redirection,62,40.99686314840089,1,29
432,432,Isolation,20,30.750610633157677,1,46
433,433,Isolation,8,33.68516900724772,1,29
434,434,Traffic Redirection,68,36.81879311477044,1,40
435,435,Isolation,39,28.384210627870043,1,29
436,436,Access Control,8,23.18614333927391,1,36
437,437,Access Control,22,35.204773753579495,1,14
438,438,Access Control,21,33.69980671133443,1,47
439,439,Traffic Redirection,126,28.127567013463565,1,3
440,440,Traffic Redirection,43,25.34467957807018,1,31
441,441,Isolation,119,24.870779392834258,1,8
442,442,Access Control,16,34.12551001794279,1,49
443,443,Isolation,108,32.8789517490929,1,2
444,444,Access Control,12,27.270330443878724,1,27
445,445,Isolation,19,30.169383198403587,1,32
446,446,Isolation,54,29.920507080201652,1,13
447,447,Traffic Redirection,56,38.97425119678106,0,43
448,448,Isolation,75,40.67990535869481,1,5
449,449,Access Control,88,31.338856164909437,1,19
450,450,Traffic Redirection,1,27.52887034151209,1,37
451,451,Isolation,114,35.19312443442288,0,42
452,452,Isolation,91,28.639345875417153,1,43
453,453,Access Control,39,29.232483535395417,1,29
454,454,Traffic Redirection,71,19.108030941977688,1,14
455,455,Access Control,22,31.51657973254818,1,29
456,456,Access Control,32,31.038830571485217,1,14
457,457,Access Control,46,24.617363578996923,1,17
458,458,Access Control,124,19.60816594845577,1,5
459,459,Traffic Redirection,81,34.04614106058395,1,29
460,460,Access Control,41,28.01850961944309,1,4
461,461,Access Control,103,35.1146552322292,0,4
462,462,Traffic Redirection,95,26.538919500276602,1,43
463,463,Isolation,5,33.344085310651934,1,24
464,464,Access Control,110,29.43356237794111,1,39
465,465,Access Control,26,35.97567441043429,1,46
466,466,Traffic Redirection,51,31.97860081122821,1,17
467,467,Access Control,10,26.047809129998356,1,41
468,468,Traffic Redirection,59,27.95657363792111,1,44
469,469,Access Control,20,28.406954988921125,1,16
470,470,Traffic Redirection,99,33.99150794723232,1,30
471,471,Traffic Redirection,65,25.780325666143387,1,17
472,472,Isolation,31,28.59281042382427,1,20
473,473,Isolation,106,31.657107612490726,1,44
474,474,Isolation,84,31.37678021640084,1,8
475,475,Traffic Redirection,67,31.37146078656729,1,44
476,476,Access Control,4,32.041859229726825,1,32
477,477,Access Control,63,23.862552610758264,1,22
478,478,Isolation,100,14.966129753004022,1,35
479,479,Traffic Redirection,71,25.090478022539948,1,7
480,480,Access Control,20,32.04030330128282,1,14
481,481,Access Control,61,23.739380880150403,1,12
482,482,Access Control,37,29.914291065690726,1,38
483,483,Isolation,77,31.400271035634848,1,7
484,484,Access Control,104,35.92079420821766,0,31
485,485,Traffic Redirection,87,32.8144754035888,1,33
486,486,Traffic Redirection,118,22.584627663535723,1,11
487,487,Isolation,29,31.352633721109413,1,41
488,488,Isolation,80,36.9218223455543,1,32
489,489,Traffic Redirection,59,36.03161892421598,1,11
490,490,Isolation,103,26.542789568009667,1,7
491,491,Access Control,74,28.378688120099863,0,42
492,492,Access Control,39,41.763032913485176,1,30
493,493,Access Control,127,27.898292948528237,1,44
494,494,Traffic Redirection,9,24.49611494921422,1,24
495,495,Traffic Redirection,126,30.16022290732794,1,14
496,496,Isolation,9,29.57898013988669,1,22
497,497,Isolation,53,29.278886063860686,0,12
498,498,Access Control,58,23.731244098857182,1,19
499,499,Access Control,23,30.982769835009055,1,43
500,500,Isolation,110,41.67054601091906,1,46
501,501,Traffic Redirection,19,26.844977156974746,1,23
502,502,Traffic Redirection,44,38.406333448691655,1,35
503,503,Traffic Redirection,64,26.977311240838468,1,37
504,504,Access Control,10,33.45157008650938,1,36
505,505,Traffic Redirection,34,36.655575949993846,1,25
506,506,Isolation,9,37.79249911979898,1,21
507,507,Isolation,30,26.52065629517223,1,48
508,508,Traffic Redirection,58,26.64887742367234,1,49
509,509,Traffic Redirection,94,29.73730904702878,1,36
510,510,Isolation,82,23.205542761541743,1,47
511,511,Traffic Redirection,49,34.12307947697305,1,42
512,512,Access Control,110,28.451639310973192,1,27
513,513,Access Control,64,29.430297752097285,1,47
514,514,Isolation,50,39.43971186009048,1,31
515,515,Access Control,14,24.28640785582361,1,6
516,516,Access Control,68,31.616634344022344,1,8
517,517,Access Control,115,38.55266749011682,1,15
518,518,Isolation,127,23.247492361499326,1,24
519,519,Isolation,39,34.325354648005565,1,32
520,520,Traffic Redirection,89,26.694425644734046,1,3
521,521,Isolation,87,24.610164526488134,1,49
522,522,Access Control,125,28.488322295261565,1,20
523,523,Isolation,124,29.743312024635337,1,37
524,524,Access Control,71,34.47234789120904,1,31
525,525,Traffic Redirection,68,35.27516312475723,1,26
526,526,Access Control,45,32.021115997444284,1,49
527,527,Access Control,66,26.29305677343682,1,22
528,528,Isolation,84,34.87703327753404,1,6
529,529,Traffic Redirection,70,31.277275770463834,1,9
530,530,Isolation,113,27.693243862416043,1,25
531,531,Traffic Redirection,24,36.06873977231376,1,48
532,532,Traffic Redirection,74,31.821887210367994,1,18
533,533,Access Control,73,32.36328440851847,1,31
534,534,Isolation,107,34.18014397700841,1,21
535,535,Traffic Redirection,57,35.54692736919395,1,4
536,536,Traffic Redirection,118,24.23471249143744,1,24
537,537,Traffic Redirection,116,26.885142558975488,1,6
538,538,Access Control,100,33.343077732711656,1,42
539,539,Traffic Redirection,28,34.0644991729839,1,1
540,540,Access Control,121,39.19392312714355,1,46
541,541,Access Control,21,32.66390367519715,1,10
542,542,Access Control,87,26.775720519342237,1,1
543,543,Isolation,38,34.91332233942981,1,45
544,544,Traffic Redirection,18,34.76515736048045,1,11
545,545,Traffic Redirection,11,26.277899484571265,1,26
546,546,Access Control,25,36.004880398870455,1,33
547,547,Isolation,37,33.87856167111043,1,10
548,548,Isolation,70,29.14643062110012,1,34
549,549,Access Control,30,26.237989864874315,1,1
550,550,Isolation,109,32.379153184599176,1,26
551,551,Isolation,34,19.661701574650536,1,45
552,552,Access Control,109,23.000714003945333,1,46
553,553,Isolation,114,22.014167292427416,1,14
554,554,Access Control,51,33.60099071801309,1,16
555,555,Access Control,39,32.1177074058344,1,6
556,556,Traffic Redirection,102,39.867278619933344,1,48
557,557,Isolation,43,31.128331103464696,1,29
558,558,Isolation,102,30.33223439385061,1,29
559,559,Access Control,68,30.676041618162454,1,35
560,560,Access Control,77,22.92793918964745,1,17
561,561,Isolation,74,27.542987427448896,1,6
562,562,Traffic Redirection,69,37.22215925649392,1,7
563,563,Traffic Redirection,98,33.68152079051021,1,16
564,564,Access Control,58,32.74203018089222,1,27
565,565,Traffic Redirection,72,31.372885470822865,1,21
566,566,Traffic Redirection,119,25.528124654752638,1,20
567,567,Isolation,36,37.76789113767243,1,1
568,568,Isolation,26,31.715414778220968,1,1
569,569,Traffic Redirection,111,31.356471882229236,1,41
570,570,Traffic Redirection,6,20.917975874394877,1,35
571,571,Access Control,39,22.095705130128422,1,18
572,572,Access Control,107,34.23964079371473,1,44
