event_id,timestamp_ns,device_id,attack_type,traffic_deviation,behavior_anomaly_score,anomaly_label,severity_level
48,183237023,579,DoS,0.9,0.76,1,High
49,20361087,548,Replay,2.05,0.61,1,Low
50,86830934,672,Spoofing,2.95,0.78,1,Low
51,12038460,31,Spoofing,2.89,0.92,1,Medium
52,84577229,591,Replay,3.25,0.84,1,Medium
53,58044201,623,Replay,1.76,0.87,1,High
54,83081448,167,Replay,0.52,0.63,1,High
55,185346232,210,Data Injection,0.92,0.76,1,Critical
56,118907120,364,Replay,1.4,0.73,1,High
57,166343702,919,Spoofing,1.32,0.94,1,Low
58,62960952,679,Spoofing,3.24,0.84,1,Low
59,30632528,448,DoS,1.29,0.87,1,High
60,36847889,428,Data Injection,1.78,0.62,1,Medium
61,127104376,678,DoS,3.28,0.61,1,High
62,116053456,404,Spoofing,2.21,0.72,1,High
63,136240446,479,Spoofing,3.18,0.8,1,Low
64,30011488,526,Data Injection,2.84,0.6,1,Low
65,22141441,708,Spoofing,3.42,0.83,1,High
66,15652615,78,Replay,1.09,1.0,1,Critical
67,131682425,143,DoS,1.0,0.83,1,Medium
68,95947750,427,MITM,2.68,0.9,1,High
69,119014367,798,DoS,2.64,0.66,1,Critical
70,149098872,466,Replay,2.66,0.82,1,Critical
71,102730941,753,Spoofing,3.17,0.92,1,Low
72,155417275,824,DoS,0.87,0.73,1,Medium
73,134817870,241,MITM,2.93,0.89,1,Critical
74,196161682,415,Replay,0.96,0.98,1,High
75,161106737,956,Replay,2.54,0.83,1,High
76,172396084,83,DoS,3.28,0.67,1,Medium
77,195675446,182,MITM,2.74,0.73,1,Medium
78,31092457,901,DoS,1.23,0.7,1,Critical
79,19602365,966,Replay,2.07,0.67,1,High
80,109034738,624,MITM,0.72,0.86,1,Critical
81,180800475,823,Data Injection,1.21,0.91,1,High
82,109121514,227,DoS,1.11,0.88,1,Low
83,101130192,802,DoS,2.14,0.78,1,High
84,27200108,387,Replay,1.4,0.86,1,Medium
85,191468128,155,MITM,1.24,0.73,1,Medium
86,19271508,578,DoS,2.18,0.96,1,High
87,122288177,247,DoS,1.0,0.89,1,Low
88,168485789,303,MITM,1.13,0.76,1,High
89,116415201,781,Data Injection,2.55,0.73,1,High
90,1394061,321,MITM,2.76,0.83,1,High
91,177134419,1000,Replay,3.31,0.86,1,Medium
92,153770405,322,Data Injection,2.17,0.96,1,Critical
93,75400364,287,Spoofing,0.86,0.66,1,Low
94,140629554,656,Replay,1.45,0.88,1,High
95,90753924,506,MITM,0.68,0.91,1,Medium
96,72567781,526,Data Injection,1.39,0.98,1,Critical
97,198163750,488,DoS,0.86,0.95,1,Medium
98,17723535,153,Replay,2.52,0.77,1,Medium
99,110623788,573,Spoofing,2.23,0.7,1,High
100,55949074,930,DoS,1.66,0.84,1,High
101,54526615,909,MITM,1.08,0.69,1,Low
102,46640228,436,Data Injection,3.13,0.72,1,High
103,56191505,92,Spoofing,3.16,0.76,1,Critical
104,51650490,167,Data Injection,3.35,0.95,1,Medium
105,157271065,316,Spoofing,1.54,0.83,1,Critical
106,27441721,291,Spoofing,3.48,0.89,1,Medium
107,83779133,677,MITM,1.48,0.72,1,Critical
108,75665635,914,Data Injection,3.31,0.97,1,Low
109,100139304,789,MITM,2.94,0.9,1,Low
110,62915822,235,DoS,3.44,0.98,1,Medium
111,65365558,171,DoS,2.84,0.68,1,High
112,55983837,981,MITM,0.84,0.98,1,High
113,123862771,63,Spoofing,2.26,0.84,1,High
114,154493307,926,MITM,2.86,0.66,1,High
115,28270227,520,Data Injection,0.95,0.78,1,Medium
116,19904229,367,MITM,3.3,0.96,1,Medium
117,67444225,701,Spoofing,2.42,0.9,1,Low
118,3414342,316,MITM,0.5,0.61,1,Low
119,102157754,102,Replay,2.56,0.81,1,Low
120,53505278,207,MITM,1.96,0.98,1,Low
121,47050125,393,DoS,3.44,0.71,1,High
122,136036896,891,Data Injection,1.17,0.63,1,Medium
123,121142844,584,MITM,2.33,0.76,1,Medium
124,158525562,700,Replay,1.44,0.9,1,Medium
125,18877383,270,MITM,0.97,0.99,1,Medium
126,120633868,135,Replay,2.15,0.71,1,Medium
127,30980217,359,Data Injection,0.52,0.64,1,High
128,197733004,765,Data Injection,1.93,0.71,1,High
129,119370255,768,DoS,3.46,0.63,1,High
130,47937283,496,Replay,3.1,0.61,1,Medium
131,97448204,76,DoS,1.77,0.98,1,Low
132,87053523,210,MITM,2.12,0.74,1,Critical
133,86459884,635,MITM,2.45,0.65,1,Critical
134,50356195,532,Spoofing,1.8,0.75,1,Critical
135,187780999,439,Spoofing,1.99,0.95,1,Medium
136,22126136,707,Spoofing,2.51,0.75,1,Low
137,111130212,596,Spoofing,2.83,0.62,1,Low
138,22756978,313,Spoofing,2.53,0.93,1,Medium
139,158439901,616,DoS,3.28,0.96,1,Medium
140,68837079,266,MITM,2.13,0.64,1,Low
141,20819184,398,DoS,2.18,0.94,1,Low
142,41131302,321,MITM,0.65,0.68,1,Medium
143,30980217,984,Spoofing,2.46,0.85,1,High
144,12630050,248,Data Injection,1.76,0.86,1,High
145,141846524,739,DoS,3.18,0.65,1,Low
146,53759859,804,Data Injection,1.88,0.9,1,Critical
147,124211549,484,Replay,3.45,0.78,1,Medium
148,100992699,472,DoS,1.33,0.89,1,Low
149,108500388,579,MITM,1.18,0.8,1,Critical
150,95284928,82,Replay,1.68,0.64,1,Low
151,8722632,308,Data Injection,3.01,0.99,1,Low
152,26513039,912,MITM,3.33,0.8,1,Low
153,96113610,234,MITM,0.74,0.81,1,Low
154,169196908,702,Spoofing,0.75,0.82,1,Medium
155,138971465,423,DoS,2.31,0.79,1,High
156,20924169,907,DoS,3.24,0.86,1,Critical
157,96438242,254,Data Injection,2.6,0.7,1,Medium
158,38593098,201,Replay,1.21,0.95,1,High
159,24298247,566,Spoofing,2.12,0.98,1,Medium
160,62508414,525,Spoofing,0.63,1.0,1,High
161,115608734,816,Data Injection,1.13,0.91,1,Critical
162,155056464,593,Replay,3.4,0.66,1,High
163,184217918,250,MITM,2.72,0.63,1,Medium
164,61162720,82,MITM,1.71,0.83,1,Critical
165,80191910,271,Spoofing,1.78,0.61,1,Medium
166,5339009,961,Data Injection,0.97,0.98,1,High
167,6376613,560,Data Injection,2.05,0.96,1,Medium
168,27735410,457,Spoofing,2.65,0.84,1,High
169,39713227,499,MITM,1.53,0.99,1,Low
170,89938301,776,DoS,0.84,0.98,1,Low
171,66233521,274,MITM,0.84,0.94,1,Medium
172,164934849,309,DoS,1.06,0.83,1,Critical
173,84889178,763,MITM,0.69,0.88,1,Medium
174,181597618,787,DoS,2.52,0.9,1,Low
175,126343519,201,DoS,2.65,0.85,1,High
176,165279521,204,Replay,0.76,0.83,1,Critical
177,177345749,972,MITM,3.24,0.61,1,Medium
178,50065663,757,MITM,1.84,0.71,1,Low
179,75549452,350,Data Injection,1.99,0.84,1,High
180,185600838,137,Data Injection,1.69,0.99,1,Critical
181,150978634,122,Data Injection,1.8,0.88,1,Low
182,116140949,197,MITM,0.66,0.9,1,Medium
183,12065561,46,MITM,0.73,0.85,1,High
184,25032474,156,Spoofing,2.95,0.91,1,High
185,31585857,683,Data Injection,0.73,0.74,1,High
186,5103784,56,MITM,1.73,0.62,1,High
187,67481260,85,DoS,2.22,0.79,1,Medium
188,90293963,120,Spoofing,1.47,0.67,1,Medium
189,104789697,951,Spoofing,1.68,0.82,1,Critical
190,144744121,968,Spoofing,2.59,0.7,1,High
191,36829052,389,Spoofing,2.42,0.89,1,Critical
192,117110339,585,DoS,2.63,0.61,1,Critical
193,7605568,258,DoS,2.6,0.69,1,Medium
194,23190831,738,DoS,1.32,0.95,1,Low
195,66772066,648,DoS,2.96,0.61,1,Low
196,189009305,397,Spoofing,2.69,0.62,1,Medium
197,171979723,729,DoS,1.02,0.85,1,Medium
198,66951269,695,Replay,1.17,0.75,1,High
199,113189836,348,MITM,2.37,0.82,1,High
200,187382461,805,Spoofing,2.55,0.6,1,Medium
201,131368922,35,Replay,2.4,0.86,1,Low
202,24582696,264,Replay,0.61,0.88,1,Medium
203,123543090,358,DoS,2.51,0.91,1,Medium
204,171095025,56,MITM,2.58,0.85,1,Low
205,18574935,449,Data Injection,1.79,0.67,1,Critical
206,14254234,8,Data Injection,1.72,0.97,1,Medium
207,126765522,816,Data Injection,2.74,0.87,1,Medium
208,32563792,417,Data Injection,1.97,0.89,1,Low
209,74481426,305,Spoofing,2.63,0.76,1,High
210,149333169,194,Data Injection,0.76,0.72,1,High
211,60781442,613,Replay,1.4,0.84,1,Medium
212,180139894,815,Replay,3.21,0.85,1,Medium
213,40199734,147,MITM,2.17,0.85,1,Medium
214,136558559,485,MITM,3.02,0.65,1,High
215,15015637,388,Replay,0.74,0.75,1,Critical
216,40795395,898,Replay,2.71,0.8,1,Low
217,176144803,30,Data Injection,2.69,0.83,1,Medium
218,161340309,25,MITM,2.01,0.72,1,High
219,160518810,638,DoS,2.2,0.84,1,Medium
220,25120230,484,DoS,0.78,0.86,1,High
221,137961398,217,MITM,2.74,0.66,1,Medium
222,169719358,643,Data Injection,1.15,0.66,1,Critical
223,170188719,375,DoS,0.74,0.82,1,Medium
224,173138690,957,MITM,3.19,0.6,1,Critical
225,18217177,853,Replay,1.25,0.82,1,Low
226,77999012,123,MITM,2.85,0.78,1,Low
227,141317841,73,Spoofing,2.4,0.64,1,High
228,132719412,289,MITM,1.73,0.61,1,Low
229,39191243,873,Spoofing,3.34,0.72,1,Low
230,37016394,106,MITM,3.16,0.7,1,High
231,189797466,706,MITM,1.48,0.61,1,Medium
232,199282337,96,Spoofing,3.49,0.65,1,High
233,169155391,246,Replay,2.67,0.61,1,Medium
234,46453181,164,Spoofing,2.19,0.78,1,Critical
235,155980272,701,MITM,2.38,0.76,1,High
236,51109027,19,Data Injection,2.42,0.9,1,High
237,105873263,816,Data Injection,1.91,0.64,1,Low
238,172871843,747,Data Injection,2.56,0.97,1,Medium
239,120583301,284,DoS,1.45,0.8,1,Medium
240,90719905,952,Replay,1.44,0.74,1,Medium
241,150422570,286,MITM,1.73,0.95,1,High
242,147088945,29,MITM,3.44,0.99,1,Low
243,163027222,703,Data Injection,2.56,0.72,1,Low
244,23198412,639,Spoofing,1.79,0.65,1,Medium
245,170462405,157,Replay,0.91,0.68,1,High
246,130881072,957,Replay,2.21,0.92,1,Medium
247,150573337,553,Replay,3.3,0.93,1,High
248,48485877,512,Data Injection,1.27,0.64,1,Low
249,46036806,999,Replay,2.44,1.0,1,Low
250,42123950,591,Replay,3.06,0.95,1,Low
251,130839844,151,Replay,2.54,0.8,1,Medium
252,101076993,677,Replay,2.28,0.92,1,Medium
253,22143564,805,Replay,0.94,0.83,1,Medium
254,65594323,732,MITM,1.75,0.8,1,Medium
255,169762496,193,Replay,3.48,0.64,1,Medium
256,15954043,881,Spoofing,2.73,0.84,1,Medium
257,75324694,643,Data Injection,2.87,0.87,1,Low
258,159990554,720,Spoofing,1.81,0.77,1,Critical
259,137630456,313,MITM,3.23,0.68,1,Critical
260,132814867,983,Data Injection,1.18,0.68,1,Medium
261,114327067,412,Data Injection,0.65,0.81,1,High
262,129944391,344,DoS,1.13,0.99,1,Critical
263,135088363,221,Data Injection,3.18,0.71,1,High
264,22556995,820,Data Injection,3.17,0.84,1,High
265,26514076,963,Data Injection,1.2,0.82,1,High
266,60870461,153,Spoofing,2.53,0.95,1,Medium
267,134221640,33,Replay,1.38,0.96,1,Low
268,73205171,941,Spoofing,1.2,0.9,1,Low
269,185761703,372,Data Injection,1.33,0.66,1,Medium
270,67018987,57,MITM,1.64,0.98,1,Critical
271,15381827,115,Spoofing,3.28,0.66,1,Medium
272,781437,202,Spoofing,1.57,0.81,1,Low
273,169379327,543,Replay,3.04,0.91,1,Medium
274,172753347,159,Replay,0.56,0.72,1,Critical
275,151590103,913,Data Injection,2.28,0.9,1,Medium
276,6727207,962,Data Injection,1.55,0.68,1,Low
277,88761737,401,DoS,2.34,0.98,1,Medium
278,36444857,755,Replay,2.23,0.63,1,Medium
279,188426049,372,DoS,0.53,0.87,1,High
280,131950328,636,Replay,0.89,0.98,1,Critical
281,11612452,712,Data Injection,1.48,0.76,1,Low
282,89068405,59,DoS,2.17,0.74,1,Low
283,110747539,68,MITM,3.15,0.78,1,Low
284,181868214,680,Replay,3.25,0.8,1,Medium
285,67868506,414,DoS,3.48,0.98,1,Critical
286,43037021,111,DoS,2.94,0.64,1,Critical
287,48808980,878,MITM,1.65,0.79,1,Medium
288,120503551,26,Data Injection,3.05,0.87,1,High
289,71645972,986,Replay,2.75,0.65,1,Medium
290,7420335,14,Spoofing,2.53,0.79,1,Low
291,55290109,705,MITM,1.47,0.79,1,Critical
292,140695670,625,Spoofing,2.14,0.83,1,Critical
293,183067691,341,MITM,0.98,0.95,1,Low
294,198965303,144,MITM,2.71,0.74,1,High
295,92812176,638,Spoofing,2.63,0.67,1,High
296,188751437,521,Data Injection,1.71,0.86,1,Low
297,105217816,717,MITM,2.46,0.92,1,Medium
298,85954116,482,DoS,1.74,0.67,1,High
299,153339929,576,Replay,3.2,0.76,1,Medium
300,126183989,93,DoS,0.65,0.8,1,Critical
301,83511886,295,MITM,2.52,0.97,1,Medium
302,110089104,10,Data Injection,1.33,0.76,1,Medium
303,67018987,256,DoS,3.16,0.89,1,Medium
304,16241726,556,Spoofing,3.02,0.75,1,Low
305,11614321,674,Replay,1.33,0.65,1,Medium
306,112296876,793,DoS,2.82,0.88,1,Critical
307,92431162,597,Data Injection,2.78,0.91,1,High
308,64795427,776,DoS,0.53,0.65,1,Medium
309,24049766,599,Spoofing,0.61,0.76,1,Medium
310,179320209,879,Spoofing,1.7,0.89,1,Critical
311,138152992,703,Replay,0.77,0.66,1,Low
312,91948242,294,DoS,0.89,1.0,1,Low
313,44712119,195,Replay,3.42,0.8,1,High
314,103301208,910,DoS,2.49,0.87,1,Medium
315,18575804,742,MITM,1.2,0.81,1,Critical
316,196340150,222,DoS,3.07,0.91,1,Medium
317,186359329,251,Spoofing,0.65,0.81,1,Low
318,167465959,851,Replay,3.13,0.7,1,High
319,54367974,415,DoS,3.25,0.8,1,Medium
320,2286565,469,Data Injection,1.44,0.89,1,Medium
321,157428835,802,MITM,2.72,0.61,1,Low
322,140832556,210,DoS,3.08,0.94,1,High
323,11694135,826,Data Injection,2.98,0.84,1,Low
324,191014451,227,MITM,1.21,0.86,1,Low
325,95696111,78,DoS,0.51,0.91,1,Medium
326,33269421,250,Replay,2.8,0.9,1,Critical
327,182897192,367,Spoofing,2.26,0.87,1,Low
328,145781467,294,Replay,2.74,0.91,1,Medium
329,193675317,62,Spoofing,1.39,0.68,1,Medium
330,195864862,644,Data Injection,1.18,0.91,1,Low
331,45574724,551,Data Injection,2.71,0.94,1,Low
332,180568379,27,MITM,1.6,0.94,1,High
333,180769965,6,Data Injection,1.27,0.62,1,Medium
334,17522030,556,DoS,3.1,0.97,1,Medium
335,147201460,761,Replay,1.15,0.92,1,High
336,44054766,602,DoS,2.33,0.61,1,Medium
337,100519692,202,MITM,0.93,0.97,1,Low
338,138785151,502,Data Injection,3.27,0.69,1,Medium
339,173030655,613,Data Injection,2.59,0.67,1,Medium
340,184090403,219,DoS,2.65,0.9,1,Medium
341,74621814,129,Spoofing,3.04,0.75,1,Low
342,157726248,117,Spoofing,0.69,0.87,1,Medium
343,102186892,491,MITM,1.39,0.61,1,Low
344,189083515,203,Replay,2.58,0.94,1,High
345,37469941,956,MITM,3.36,0.76,1,Low
346,90540400,165,Replay,3.0,0.8,1,Medium
347,75151080,571,Replay,0.72,0.94,1,High
348,21398014,78,MITM,0.55,0.75,1,High
349,90904511,654,MITM,1.17,0.63,1,High
350,144090431,126,Replay,2.15,0.85,1,Critical
351,32777718,807,DoS,0.67,0.63,1,Low
352,68384383,242,Replay,0.72,0.73,1,Critical
353,112541628,268,Data Injection,3.03,0.74,1,High
354,100680603,594,MITM,2.55,0.73,1,High
355,15546622,33,MITM,3.29,0.67,1,Medium
356,110185179,53,Spoofing,2.29,0.78,1,High
357,168316185,7,Spoofing,2.8,0.64,1,Medium
358,149482993,758,MITM,1.65,0.94,1,Low
359,27727887,526,Spoofing,2.73,0.98,1,High
360,90536610,1,Data Injection,3.33,0.91,1,Critical
361,30098406,454,Spoofing,2.0,0.75,1,Medium
362,72839401,187,MITM,1.71,0.88,1,Critical
363,69568507,575,DoS,2.03,0.96,1,Low
364,44124304,781,Spoofing,0.75,0.7,1,Critical
365,81275241,442,Spoofing,1.95,0.95,1,Low
366,68367339,257,Data Injection,2.54,0.98,1,Critical
367,19831175,655,Spoofing,2.18,0.78,1,Critical
368,36485261,196,MITM,3.21,0.7,1,Medium
369,92625360,83,DoS,1.37,0.76,1,High
370,93958543,510,Replay,2.89,0.88,1,High
371,193876122,568,Data Injection,0.95,0.8,1,High
372,138732814,861,MITM,1.15,0.73,1,Critical
373,160296982,329,MITM,2.78,0.62,1,Low
374,55071340,526,DoS,0.96,0.83,1,Low
375,199556588,913,Spoofing,0.82,0.85,1,High
376,134961814,589,DoS,2.25,0.62,1,High
377,171354816,691,Spoofing,1.81,0.83,1,Low
378,83965069,324,MITM,0.83,0.8,1,Low
379,93195148,947,DoS,2.87,0.94,1,High
380,23983045,43,Replay,1.65,0.74,1,Low
381,62492190,246,MITM,1.27,0.7,1,High
382,182067608,339,MITM,0.5,0.82,1,Medium
383,43031784,893,Spoofing,0.95,0.86,1,Critical
384,132269820,179,MITM,0.63,0.66,1,Medium
385,120942864,226,Data Injection,1.97,0.71,1,Medium
386,74641861,188,MITM,1.1,0.88,1,Critical
387,167738194,477,Data Injection,2.29,0.89,1,High
388,63584281,317,MITM,1.99,0.91,1,High
389,169916960,113,MITM,2.96,0.69,1,Low
390,110924599,804,Spoofing,2.77,0.9,1,Critical
391,164094134,297,Data Injection,2.12,0.75,1,High
392,139822965,907,DoS,3.24,0.7,1,Critical
393,159590896,675,Spoofing,2.21,0.88,1,Low
394,109848515,118,Data Injection,1.14,0.79,1,High
395,109178426,221,DoS,1.72,0.75,1,Critical
396,121712558,189,Replay,2.56,0.9,1,Critical
397,111602822,696,Replay,0.54,0.7,1,High
398,131594813,291,DoS,3.39,1.0,1,High
399,159739377,336,Spoofing,2.16,0.91,1,High
400,189932093,721,Data Injection,1.8,0.68,1,High
401,151314722,825,Data Injection,3.23,0.64,1,Low
402,156685469,207,MITM,1.67,0.65,1,Low
403,98179718,218,Replay,1.11,1.0,1,High
404,114345967,890,Data Injection,2.13,0.65,1,High
405,133375143,145,DoS,1.3,0.91,1,High
406,150186076,645,Replay,2.54,0.93,1,Low
407,182335924,545,MITM,2.25,0.67,1,Low
408,87997139,170,MITM,1.16,0.99,1,Low
409,63390880,983,MITM,1.39,0.89,1,Critical
410,139089948,556,Spoofing,1.55,0.81,1,High
411,117616589,376,DoS,0.57,0.65,1,High
412,110373939,713,DoS,1.59,0.75,1,High
413,188138794,134,MITM,0.77,0.89,1,Critical
414,168325428,372,MITM,1.87,0.95,1,Critical
415,152207392,28,Replay,2.18,0.92,1,Medium
416,106951468,222,DoS,0.64,0.68,1,Critical
417,53245933,52,Data Injection,3.25,0.64,1,High
418,139419431,863,Spoofing,2.26,0.73,1,High
419,117450661,454,MITM,1.05,0.88,1,High
420,66049474,40,Replay,0.91,0.65,1,Medium
421,121338998,691,MITM,3.36,0.66,1,High
422,75092378,875,Data Injection,2.2,0.7,1,Low
423,46129040,901,DoS,2.71,0.73,1,Low
424,129652858,331,Spoofing,1.11,0.78,1,Critical
425,27949460,467,Data Injection,1.42,0.61,1,Low
426,188673727,498,MITM,1.17,0.61,1,Critical
427,92403671,932,Replay,3.31,0.78,1,Medium
428,147149108,686,Replay,2.97,0.75,1,Critical
429,115900848,870,DoS,1.72,0.64,1,Low
430,84959633,582,MITM,2.81,0.8,1,Critical
431,85550607,799,DoS,1.99,0.71,1,High
432,131927386,814,MITM,2.74,0.73,1,Medium
433,149612738,433,Replay,2.91,0.98,1,Medium
434,159115364,303,DoS,1.99,0.89,1,Medium
435,12463688,723,Spoofing,3.3,0.65,1,Medium
436,52627834,49,Replay,2.34,0.96,1,Critical
437,81989993,961,Data Injection,3.27,0.94,1,High
438,194740196,995,DoS,1.49,0.68,1,Critical
439,199077013,149,Data Injection,2.45,0.71,1,Medium
440,102153750,773,Replay,1.79,0.98,1,Low
441,156310249,442,Spoofing,0.65,0.73,1,Medium
442,150460488,459,Replay,2.59,0.72,1,Medium
443,145138550,262,Spoofing,2.64,0.91,1,Medium
444,133491501,313,Replay,1.56,0.64,1,High
445,118735558,952,Data Injection,1.11,0.92,1,Low
446,36530681,389,DoS,0.77,0.83,1,High
447,168073386,512,MITM,3.39,0.9,1,Medium
448,34700044,296,Spoofing,0.52,0.87,1,Medium
449,150293152,207,Replay,1.67,0.72,1,Critical
450,188974551,774,Data Injection,2.29,0.8,1,Medium
451,137570901,285,MITM,2.05,0.61,1,High
452,101656039,229,Replay,1.33,0.96,1,High
453,154673308,150,MITM,2.69,0.8,1,Medium
454,154200480,443,DoS,1.81,0.94,1,Critical
455,68273252,977,Data Injection,2.5,0.98,1,Critical
456,13937520,804,DoS,1.22,0.62,1,Critical
457,95399407,722,DoS,2.33,0.97,1,Low
458,125205918,278,Data Injection,3.36,0.74,1,Medium
459,188509670,135,DoS,2.59,0.98,1,Medium
460,123511693,944,MITM,2.16,0.67,1,Low
461,132198093,541,MITM,2.17,0.98,1,Critical
462,194890174,314,Spoofing,2.3,0.72,1,High
463,168092593,619,MITM,2.95,0.61,1,Critical
464,1250864,64,Replay,3.22,0.65,1,Low
465,88232807,17,Spoofing,3.5,0.99,1,Medium
466,8148706,930,Replay,2.02,0.66,1,Low
467,14039455,556,DoS,2.46,0.92,1,Medium
468,7035119,989,MITM,3.04,0.82,1,Critical
469,16549259,633,DoS,2.9,0.84,1,High
470,101720582,472,MITM,2.85,0.73,1,Critical
471,147404236,79,Spoofing,2.29,0.62,1,Medium
472,102596631,98,MITM,3.16,0.62,1,High
473,4057685,203,Data Injection,0.97,0.6,1,Critical
474,4267350,453,Data Injection,0.7,0.78,1,High
475,20836226,804,Data Injection,0.98,0.61,1,Critical
476,196934093,746,Spoofing,1.34,0.84,1,High
477,100500420,514,MITM,2.13,0.85,1,High
478,157581419,563,DoS,0.9,0.61,1,High
479,125955104,783,Spoofing,3.26,0.82,1,Low
480,123142343,463,MITM,2.48,0.75,1,Critical
481,138904658,658,Data Injection,1.03,0.82,1,High
482,19985271,16,Data Injection,3.44,0.99,1,Low
483,16055758,528,Spoofing,1.73,0.85,1,Low
484,55022961,179,Spoofing,2.0,0.92,1,Low
485,75596917,115,Replay,1.76,0.66,1,Low
486,43556537,374,MITM,1.47,0.81,1,Medium
487,10350902,777,MITM,1.68,0.76,1,Medium
488,104644183,650,MITM,3.41,0.73,1,Medium
489,168274195,468,DoS,3.35,0.67,1,Critical
490,83402842,727,MITM,1.32,0.74,1,Low
491,170616509,25,Spoofing,2.97,0.82,1,High
492,54993495,435,Replay,3.05,0.61,1,Medium
493,128776268,204,MITM,0.71,0.92,1,Medium
494,178923118,935,Spoofing,2.72,0.6,1,Medium
495,64885358,359,Data Injection,2.84,0.74,1,Medium
496,194135217,22,Replay,3.21,0.76,1,Critical
497,157641618,520,MITM,3.13,1.0,1,Medium
498,147811943,870,Replay,2.35,0.7,1,Critical
499,66819758,252,Replay,2.67,0.93,1,High
500,83741456,27,Spoofing,2.1,0.88,1,High
501,90606683,542,DoS,3.03,0.81,1,Medium
502,76349507,520,DoS,2.49,0.64,1,Low
503,109456621,656,Data Injection,2.69,0.74,1,Low
504,147941644,962,Replay,2.0,0.66,1,Low
505,40190911,597,Replay,0.68,0.65,1,High
506,198151960,688,DoS,3.43,0.68,1,High
507,125354231,489,Replay,2.85,0.88,1,Critical
508,186063348,747,Replay,2.55,0.93,1,Low
509,171484505,2,DoS,2.54,0.69,1,Critical
510,183151462,65,DoS,3.39,0.8,1,High
511,14501863,976,MITM,1.13,0.61,1,Medium
512,107950565,822,DoS,2.05,0.92,1,Low
513,97871831,915,Data Injection,2.92,0.95,1,High
514,87859826,395,MITM,2.57,0.68,1,High
515,124524762,742,DoS,3.36,0.79,1,High
516,149850652,38,MITM,2.34,0.76,1,Low
517,91762649,174,MITM,2.93,0.82,1,Low
518,190111861,844,DoS,1.61,0.65,1,Medium
519,158678361,638,MITM,1.05,0.73,1,High
520,194730354,895,DoS,0.64,0.74,1,Medium
521,156898132,674,MITM,1.31,0.6,1,Medium
522,124746618,208,DoS,1.55,0.77,1,Medium
523,31742141,312,Spoofing,3.35,0.99,1,Low
524,25667161,712,MITM,2.03,0.7,1,Medium
525,34744014,51,Spoofing,2.89,0.75,1,Medium
526,174517755,970,DoS,1.75,0.97,1,High
527,80461810,796,DoS,1.59,0.67,1,Low
528,108240854,384,Replay,1.83,0.97,1,Medium
529,154028569,448,Spoofing,1.32,0.77,1,Low
530,19101595,840,Spoofing,1.03,0.82,1,Critical
531,86563471,479,Spoofing,2.29,0.82,1,Critical
532,84003920,588,DoS,2.45,0.81,1,Critical
533,99098510,326,Replay,1.61,0.87,1,Critical
534,103162793,813,Replay,1.81,0.73,1,High
535,64336392,652,MITM,2.79,0.87,1,High
